year,grade,total,girls,boys,x,State
2013-14,4,1953798,939903,1013895,madhya pradesh,MADHYA PRADESH
2013-14,5,1925046,936413,988633,madhya pradesh,MADHYA PRADESH
2013-14,6,1730433,855495,874938,madhya pradesh,MADHYA PRADESH
2013-14,7,1688166,832676,855490,madhya pradesh,MADHYA PRADESH
2013-14,8,1606484,797363,809121,madhya pradesh,MADHYA PRADESH
2016-17,1,2019316,940902,1078414,maharashtra,MAHARASHTRA
2016-17,2,2023723,944348,1079375,maharashtra,MAHARASHTRA
2016-17,3,2006519,943235,1063284,maharashtra,MAHARASHTRA
2016-17,4,1981394,931910,1049484,maharashtra,MAHARASHTRA
2016-17,5,1971157,926890,1044267,maharashtra,MAHARASHTRA
2016-17,6,1973924,925431,1048493,maharashtra,MAHARASHTRA
2016-17,7,2001262,940556,1060706,maharashtra,MAHARASHTRA
2016-17,8,2008417,936695,1071722,maharashtra,MAHARASHTRA
2015-16,1,2039892,950710,1089182,maharashtra,MAHARASHTRA
2015-16,2,2017288,948262,1069026,maharashtra,MAHARASHTRA
2015-16,3,1992588,937904,1054684,maharashtra,MAHARASHTRA
2015-16,4,1987687,936237,1051450,maharashtra,MAHARASHTRA
2015-16,5,1989047,933716,1055331,maharashtra,MAHARASHTRA
2015-16,6,2011728,946222,1065506,maharashtra,MAHARASHTRA
2015-16,7,2044326,957967,1086359,maharashtra,MAHARASHTRA
2015-16,8,1961219,908243,1052976,maharashtra,MAHARASHTRA
2014-15,1,2057635,965182,1092453,maharashtra,MAHARASHTRA
2014-15,2,2016259,948041,1068218,maharashtra,MAHARASHTRA
2014-15,3,2004971,944989,1059982,maharashtra,MAHARASHTRA
2014-15,4,2008888,944905,1063983,maharashtra,MAHARASHTRA
2014-15,5,2037963,959108,1078855,maharashtra,MAHARASHTRA
2014-15,6,2064742,968666,1096076,maharashtra,MAHARASHTRA
2014-15,7,2025165,943995,1081170,maharashtra,MAHARASHTRA
2014-15,8,1956811,901532,1055279,maharashtra,MAHARASHTRA
2013-14,1,2034182,954260,1079922,maharashtra,MAHARASHTRA
2013-14,3,2013473,948680,1064793,maharashtra,MAHARASHTRA
2013-14,4,2016058,949015,1067043,maharashtra,MAHARASHTRA
2013-14,5,2053712,968888,1084824,maharashtra,MAHARASHTRA
2013-14,7,2071384,973127,1098257,maharashtra,MAHARASHTRA
2013-14,6,2027838,946661,1081177,maharashtra,MAHARASHTRA
2013-14,8,1933584,892763,1040821,maharashtra,MAHARASHTRA
2016-17,1,80990,39409,41581,manipur,MANIPUR
2016-17,2,65826,32100,33726,manipur,MANIPUR
2016-17,3,59697,28715,30982,manipur,MANIPUR
